Episodes,Title,Writers,Directors,Rating,Num_Votes,Dwight_positive_score,Dwight_neutral_score,Dwight_negative_score,Dwight_compound_score,Jim_positive_score,Jim_neutral_score,Jim_negative_score,Jim_compound_score,Pam_positive_score,Pam_neutral_score,Pam_negative_score,Pam_compound_score,Kevin_positive_score,Kevin_neutral_score,Kevin_negative_score,Kevin_compound_score,Angela_positive_score,Angela_neutral_score,Angela_negative_score,Angela_compound_score,Stanley_positive_score,Stanley_neutral_score,Stanley_negative_score,Stanley_compound_score,Phyllis_positive_score,Phyllis_neutral_score,Phyllis_negative_score,Phyllis_compound_score,Oscar_positive_score,Oscar_neutral_score,Oscar_negative_score,Oscar_compound_score,Andy_positive_score,Andy_neutral_score,Andy_negative_score,Andy_compound_score,Ryan_positive_score,Ryan_neutral_score,Ryan_negative_score,Ryan_compound_score,Kelly_positive_score,Kelly_neutral_score,Kelly_negative_score,Kelly_compound_score,Meredith_positive_score,Meredith_neutral_score,Meredith_negative_score,Meredith_compound_score,Michael_positive_score,Michael_neutral_score,Michael_negative_score,Michael_compound_score,Creed_positive_score,Creed_neutral_score,Creed_negative_score,Creed_compound_score,Toby_positive_score,Toby_neutral_score,Toby_negative_score,Toby_compound_score,Darryl_positive_score,Darryl_neutral_score,Darryl_negative_score,Darryl_compound_score,Erin_positive_score,Erin_neutral_score,Erin_negative_score,Erin_compound_score
Episode 1,Pilot,"Greg Daniels, Ricky Gervais, and Stephen Merchant", Ken Kwapis  ,7.5,6018,0.137,0.825,0.038,0.9767,0.155,0.787,0.058,0.9822,0.167,0.775,0.058,0.9694,0.423,0.577,0.0,0.296,0.0,1.0,0.0,0.0,0.237,0.763,0.0,0.6072,0.0,1.0,0.0,0.0,0.278,0.722,0.0,0.6597,0.0,0.0,0.0,0.0,0.07,0.93,0.0,0.4215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.728,0.084,0.9994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 2,Diversity Day,B.J. Novak, Ken Kwapis  ,8.3,5890,0.218,0.694,0.088,0.9636,0.16,0.784,0.056,0.9896,0.255,0.745,0.0,0.9246,0.105,0.736,0.158,-0.4871,0.0,1.0,0.0,0.0,0.332,0.668,0.0,0.8385,0.0,0.0,0.0,0.0,0.146,0.854,0.0,0.8273,0.0,0.0,0.0,0.0,0.179,0.821,0.0,0.7096,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206,0.727,0.067,0.9997,0.0,0.0,0.0,0.0,0.0,0.902,0.098,-0.0772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 3,Health Care,Paul Lieberstein, Ken Whittingham  ,7.8,4939,0.182,0.721,0.097,0.9953,0.219,0.692,0.089,0.9917,0.074,0.798,0.128,-0.8452,0.0,1.0,0.0,0.0,0.083,0.792,0.125,-0.2621,0.226,0.693,0.081,0.644,0.0,0.0,0.0,0.0,0.24,0.73,0.03,0.8681,0.0,0.0,0.0,0.0,0.362,0.638,0.0,0.5267,0.0,0.0,0.0,0.0,0.142,0.858,0.0,0.4515,0.159,0.802,0.039,0.9984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 4,The Alliance,Michael Schur, Bryan Gordon  ,8.0,4800,0.188,0.749,0.064,0.9959,0.154,0.793,0.054,0.9962,0.225,0.758,0.017,0.9939,0.39,0.61,0.0,0.4927,0.159,0.691,0.15,0.3339,0.0,1.0,0.0,0.0,0.042,0.747,0.21,-0.8081,0.208,0.753,0.039,0.9447,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.232,0.716,0.052,0.9642,0.199,0.731,0.07,0.9996,0.0,0.0,0.0,0.0,0.371,0.629,0.0,0.8504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 5,Basketball,Greg Daniels, Greg Daniels  ,8.4,5296,0.166,0.815,0.018,0.9485,0.189,0.781,0.03,0.9802,0.171,0.789,0.04,0.9388,0.0,1.0,0.0,0.0,0.131,0.869,0.0,0.4871,0.0,0.876,0.124,-0.212,0.469,0.531,0.0,0.8625,0.278,0.722,0.0,0.4019,0.0,0.0,0.0,0.0,0.203,0.729,0.068,0.5775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.771,0.065,0.9995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103,0.779,0.118,-0.3867,0.0,0.0,0.0,0.0
Episode 6,Hot Girl,Mindy Kaling, Amy Heckerling  ,7.7,4730,0.206,0.78,0.014,0.9856,0.201,0.752,0.047,0.997,0.2,0.754,0.046,0.9861,0.131,0.716,0.154,-0.1414,0.106,0.894,0.0,0.3612,0.487,0.513,0.0,0.765,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203,0.797,0.0,0.8385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.802,0.037,0.9994,0.0,0.0,0.0,0.0,0.217,0.783,0.0,0.6124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 7,The Dundies,Mindy Kaling, Greg Daniels      ,8.7,5332,0.18,0.797,0.023,0.989,0.222,0.754,0.024,0.9887,0.196,0.738,0.067,0.9882,0.0,1.0,0.0,0.0,0.0,0.312,0.688,-0.296,0.141,0.859,0.0,0.8658,0.045,0.833,0.122,-0.587,0.429,0.571,0.0,0.9703,0.0,0.0,0.0,0.0,0.149,0.851,0.0,0.594,0.125,0.814,0.062,0.3067,0.0,0.0,0.0,0.0,0.185,0.776,0.039,0.9996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.693,0.307,-0.4767,0.0,0.0,0.0,0.0
Episode 8,Sexual Harassment,B.J. Novak, Ken Kwapis      ,8.2,4521,0.267,0.733,0.0,0.933,0.192,0.741,0.067,0.9727,0.148,0.79,0.062,0.8252,0.124,0.876,0.0,0.372,0.129,0.56,0.31,-0.6369,0.0,1.0,0.0,0.0,0.0,0.886,0.114,-0.5919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315,0.685,0.0,0.3182,0.0,0.0,0.0,0.0,0.545,0.455,0.0,0.5574,0.162,0.778,0.06,0.9993,0.0,0.0,0.0,0.0,0.075,0.826,0.099,-0.7154,0.207,0.695,0.098,0.9105,0.0,0.0,0.0,0.0
Episode 9,Office Olympics,Michael Schur, Paul Feig  ,8.4,4496,0.163,0.791,0.046,0.9948,0.165,0.824,0.011,0.9957,0.175,0.795,0.03,0.9668,0.123,0.652,0.225,-0.6239,0.159,0.841,0.0,0.7351,0.1,0.844,0.056,0.2714,0.0,1.0,0.0,0.0,0.151,0.758,0.09,0.2695,0.0,0.0,0.0,0.0,0.106,0.894,0.0,0.7617,0.0,0.0,0.0,0.0,0.804,0.196,0.0,0.6239,0.206,0.743,0.051,0.9994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 10,The Fire,B.J. Novak, Ken Kwapis        ,8.3,4445,0.146,0.759,0.095,0.9828,0.161,0.828,0.011,0.9954,0.217,0.754,0.029,0.9895,0.089,0.659,0.251,-0.533,0.149,0.808,0.043,0.8002,0.0,1.0,0.0,0.0,0.122,0.878,0.0,0.3612,0.104,0.664,0.232,-0.4767,0.0,0.0,0.0,0.0,0.116,0.85,0.034,0.9335,0.417,0.583,0.0,0.7835,0.045,0.894,0.061,-0.1154,0.187,0.754,0.058,0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
